"customer","tariff","from","to","v4","v5","v6","v7"
"Advanced Supply Chain..","18T JF","B42 1AA","NN17 5JE","360.00","0.00","",
"Advanced Supply Chain..","18T JF","B5 4GB","NN17 5JE","365.00","0.00","",
"Advanced Supply Chain..","18T JF","BB12 7BF","S35 1QP","410.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","B46 1DA","505.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","BD5 8DT","275.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","E20 1EL","720.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","EH48 2EA","825.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","EH54 6QX","795.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","M17 8AA","285.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","M4 1FS","275.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","MK42 7QB","630.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","NE12 5SP","515.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","NG20 8BU","325.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","OX26 6EU","630.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","RG19 4AL","695.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","S9 1EP","275.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","SW1X 7QA","695.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","W12 7GD","695.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","WC2A 1AN","695.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","WF9 2XT","270.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","YO11 3UT","400.00","0.00","",
"Advanced Supply Chain..","18T JF","BD12 7AZ","YO19 4TA","285.00","0.00","",
"Advanced Supply Chain..","18T JF","BR1 1DN","NN17 5JE","485.00","0.00","",
"Advanced Supply Chain..","18T JF","BS7 8TX","NN17 5JE","590.00","0.00","",
"Advanced Supply Chain..","18T JF","CH65 9JJ","BD12 7AZ","385.00","0.00","",
"Advanced Supply Chain..","18T JF","CH65 9JJ","NN17 5JE","605.00","0.00","",
"Advanced Supply Chain..","18T JF","CM19 5BD","BD12 7AZ","695.00","0.00","",
"Advanced Supply Chain..","18T JF","CV23 8BQ","S35 1QP","430.00","0.00","",
"Advanced Supply Chain..","18T JF","DN11 0BF","NN17 5JE","430.00","0.00","",
"Advanced Supply Chain..","18T JF","EN9 1AF","NN17 5ZB","440.00","0.00","",
"Advanced Supply Chain..","18T JF","G1 3LB","NN17 5JE","995.00","0.00","",
"Advanced Supply Chain..","18T JF","IP11 4BA","NN17 5JE","550.00","0.00","",
"Advanced Supply Chain..","18T JF","KT1 1TP","NN17 5JE","485.00","0.00","",
