"customer","tariff","from_region","to_region","price","cost","col6","col7"
"All Customers","Small Van Regional Tariff","Scotland","Midlands","62.00","44.20","0.72",""
"All Customers","Small Van Regional Tariff","Scotland","Greater London","57.00","44.20","0.78",""
"All Customers","Small Van Regional Tariff","Scotland","South East","57.00","44.20","0.78",""
"All Customers","Small Van Regional Tariff","Scotland","South West","57.00","44.20","0.78",""
"All Customers","SWB Regional Tariff","Scotland","Wales","75.00","58.50","0.78",""
"All Customers","SWB Regional Tariff","Scotland","Midlands","73.00","58.50","0.81",""
"All Customers","SWB Regional Tariff","Scotland","South East","73.00","58.50","0.81",""
"All Customers","Small Van Regional Tariff","Greater London","Scotland","52.00","44.20","0.85",""
"All Customers","Small Van Regional Tariff","Scotland","North West","52.00","44.20","0.85",""
"All Customers","Small Van Regional Tariff","Scotland","Yorkshire and the Humber","52.00","44.20","0.85",""
"All Customers","SWB Regional Tariff","Scotland","Greater London","69.00","58.50","0.85",""
"All Customers","SWB Regional Tariff","Scotland","North West","69.00","58.50","0.85",""
"All Customers","Small Van Regional Tariff","South East","Scotland","51.00","42.90","0.85",""
"All Customers","SWB Regional Tariff","Scotland","South West","66.00","58.50","0.88",""
"All Customers","Small Van Regional Tariff","Greater London","North West","49.00","44.20","0.91",""
"All Customers","Small Van Regional Tariff","Greater London","Yorkshire and the Humber","49.00","44.20","0.91",""
"All Customers","SWB Regional Tariff","Greater London","Scotland","64.00","58.50","0.91",""
"All Customers","Small Van Regional Tariff","North East","Midlands","39.00","35.10","0.91",""
"All Customers","Small Van Regional Tariff","North East","East of England","39.00","35.10","0.91",""
"All Customers","Small Van Regional Tariff","Scotland","East of England","49.00","44.20","0.91",""
"All Customers","Small Van Regional Tariff","Scotland","Wales","49.00","44.20","0.91",""
"All Customers","SWB Regional Tariff","Scotland","Yorkshire and the Humber","64.00","58.50","0.91",""
"All Customers","Small Van Regional Tariff","South East","North West","47.00","42.90","0.91",""
"All Customers","Small Van Regional Tariff","South East","Yorkshire and the Humber","47.00","42.90","0.91",""
"All Customers","SWB Regional Tariff","North East","South West","56.00","52.00","0.94",""
"All Customers","Small Van Regional Tariff","South West","Scotland","53.00","49.40","0.94",""
"All Customers","Small Van Regional Tariff","Wales","Scotland","44.00","41.60","0.94",""
"All Customers","Small Van Regional Tariff","East of England","Scotland","51.00","49.40","0.96",""
"All Customers","SWB Regional Tariff","East of England","Scotland","60.00","58.50","0.98",""
"All Customers","Small Van Regional Tariff","Greater London","North East","45.00","44.20","0.98",""
"All Customers","SWB Regional Tariff","Greater London","North East","60.00","58.50","0.98",""
"All Customers","SWB Regional Tariff","Greater London","North West","60.00","58.50","0.98",""
"All Customers","Small Van Regional Tariff","Midlands","Scotland","44.00","42.90","0.98",""
"All Customers","SWB Regional Tariff","North East","Greater London","53.00","52.00","0.98",""
"All Customers","Small Van Regional Tariff","North West","Greater London","39.00","37.70","0.98",""
"All Customers","Small Van Regional Tariff","North West","Scotland","39.00","37.70","0.98",""
"All Customers","Small Van Regional Tariff","North West","South East","39.00","37.70","0.98",""
"All Customers","Small Van Regional Tariff","Scotland","North East","45.00","44.20","0.98",""
"All Customers","SWB Regional Tariff","Scotland","East of England","60.00","58.50","0.98",""
"All Customers","LWB Regional Tariff","Scotland","Midlands","73.00","71.50","0.98",""
"All Customers","LWB Regional Tariff","Scotland","East of England","73.00","71.50","0.98",""
"All Customers","LWB Regional Tariff","Scotland","Greater London","73.00","71.50","0.98",""
"All Customers","LWB Regional Tariff","Scotland","South West","73.00","71.50","0.98",""
"All Customers","LWB Regional Tariff","Scotland","Wales","73.00","71.50","0.98",""
"All Customers","Small Van Regional Tariff","South East","North East","44.00","42.90","0.98",""
"All Customers","SWB Regional Tariff","South East","Scotland","60.00","58.50","0.98",""
"All Customers","Small Van Regional Tariff","South West","North East","51.00","49.40","0.98",""
"All Customers","Small Van Regional Tariff","South West","North West","51.00","49.40","0.98",""
"All Customers","Small Van Regional Tariff","South West","South West","51.00","49.40","0.98",""
"All Customers","Small Van Regional Tariff","Wales","Yorkshire and the Humber","43.00","41.60","0.98",""
"All Customers","SWB Regional Tariff","Wales","Scotland","60.00","58.50","0.98",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","South East","44.00","42.90","0.98",""
"All Customers","Small Van Regional Tariff","Yorkshire and the Humber","South West","43.00","42.90","0.99",""
"All Customers","Small Van Regional Tariff","East of England","North West","49.00","49.40","1.00",""
"All Customers","Small Van Regional Tariff","North East","South East","35.00","35.10","1.00",""
"All Customers","SWB Regional Tariff","South West","Yorkshire and the Humber","58.00","58.50","1.00",""
"All Customers","Small Van Regional Tariff","North East","Greater London","35.00","35.10","1.01",""
"All Customers","Small Van Regional Tariff","North East","South West","35.00","35.10","1.01",""
"All Customers","SWB Regional Tariff","South East","Midlands","58.00","58.50","1.01",""
"All Customers","Small Van Regional Tariff","Wales","North East","41.00","41.60","1.01",""
"All Customers","Small Van Regional Tariff","East of England","Yorkshire and the Humber","48.00","49.40","1.04",""
"All Customers","SWB Regional Tariff","East of England","North East","56.00","58.50","1.04",""
